id,city,p_type,subtype,price,nb_bedrooms,living_area,kitchen_type,furnished,open_fire,terrace,garden,land_surface,plot_surface,building_state,facades,swim_pool,zip_code,year_of_construction,geolocation,province
20518231,kontich,apartment,apartment,399000,2,112,installed,0,0,0,0,0,0,GOOD,2,0,2550,2006,"4.4494046,51.1331594",Antwerp
20517877,haasrode,apartment,apartment,380000,1,81,installed,0,0,0,0,0,0,GOOD,0,0,3053,2024,"4.7267119,50.8344076",Flemish Brabant
20519118,leuven,apartment,apartment,395000,3,93,semi_equipped,0,0,0,0,0,0,GOOD,2,0,3000,1967,"4.6865809,50.8745156",Flemish Brabant
20517499,knokke,apartment,apartment,975000,3,93,0,1,0,0,0,0,0,AS_NEW,0,0,8300,1967,"3.2923366,51.3530901",West Flanders
20531865,vieux waleffe,house,house,279000,3,,usa_installed,0,0,0,0,370,370,AS_NEW,3,0,4530,2014,"5.2018762,50.6153348",Liège
20528710,heule,house,house,453000,3,178,0,0,0,0,0,299,299,GOOD,0,0,8501,0,"3.2489984,50.8402217",West Flanders
20531525,deurne,house,house,429900,6,200,installed,0,0,0,0,170,170,JUST_RENOVATED,2,0,2100,0,"4.4667959,51.2231149",Antwerp
20479263,bouillon,house,house,189000,5,200,semi_equipped,0,0,0,0,72,72,TO_RENOVATE,2,0,6830,1950,"5.069953,49.7954735",Luxembourg
20530964,brasschaat,house,house,510000,4,190,semi_equipped,0,0,0,0,204,204,0,2,0,2930,1948,"4.4984208,51.2970312",Antwerp
20529194,tildonk,house,house,599000,3,266,hyper_equipped,0,0,0,0,1283,1283,0,0,0,3150,1957,"4.6393419,50.9450942",Flemish Brabant
20497778,aalst,house,house,249000,2,140,hyper_equipped,0,0,0,0,190,190,GOOD,2,0,9300,1900,"4.0515492,50.9438038",East Flanders
20505224,galmaarden,other,bungalow,278000,2,125,installed,0,0,0,0,1000,1000,TO_BE_DONE_UP,4,0,1570,1965,"3.9831413,50.7388783",Flemish Brabant
20538948,balen,house,house,365000,4,174,semi_equipped,0,0,0,0,2186,2186,TO_RENOVATE,4,0,2490,1963,"5.1870172,51.1726633",Antwerp
20538945,uccle,house,house,895000,4,341,0,0,0,0,0,221,221,TO_BE_DONE_UP,2,0,1180,0,0,Brussels
20496441,lede,house,house,285000,3,140,installed,0,0,0,0,247,247,GOOD,2,0,9340,1963,"3.901494,50.958341",East Flanders
20538931,malle,house,house,945000,6,222,installed,0,1,0,0,19222,19222,GOOD,4,0,2390,0,0,Antwerp
20538930,zoersel,house,villa,675000,4,243,hyper_equipped,0,0,0,0,1753,1753,0,4,Yes,2980,0,"4.6281726,51.2842897",Antwerp
20538929,antwerpen,house,mansion,365000,3,112,0,0,0,0,0,0,0,TO_RENOVATE,2,0,2018,0,"4.4297491,51.2085285",Antwerp
20538927,uccle,apartment,apartment,209000,1,65,semi_equipped,0,0,0,0,0,0,0,4,0,1180,1970,"4.3355368,50.8036332",Brussels
20538924,aalst,other,bungalow,479000,3,208,0,0,0,0,0,1655,1655,0,4,0,9308,1980,"4.0605476,50.9866171",East Flanders
20538916,juprelle,house,villa,479000,3,167,installed,0,0,0,0,896,896,GOOD,4,0,4458,1995,"5.5783848,50.7164909",Liège
20538911,antwerpen,house,house,485000,3,119,usa_hyper_equipped,0,0,0,0,0,0,0,3,0,2018,2023,"4.3998848,51.2026884",Antwerp
20538903,teralfene%20%28affligem%29,house,house,375000,3,123,0,0,0,0,0,287,287,0,3,0,1790,1955,"4.0873523,50.8943346",Flemish Brabant
20538899,ville en hesbaye,house,house,430000,5,,installed,0,0,0,0,2417,2417,GOOD,4,0,4260,0,"5.1117914,50.6178274",Liège
20528973,geraardsbergen,house,house,160000,2,84,semi_equipped,0,0,0,0,144,144,TO_BE_DONE_UP,2,0,9500,0,"3.9165526,50.7527592",East Flanders
20528985,geraardsbergen,other,mixed_use_building,160000,2,84,semi_equipped,0,0,0,0,144,144,TO_BE_DONE_UP,2,0,9500,0,"3.9165526,50.7527592",East Flanders
20528991,geraardsbergen,house,house,320000,4,170,semi_equipped,0,0,0,0,305,305,GOOD,2,0,9500,0,"3.9165651,50.7527325",East Flanders
20538896,oostakker,house,house,485000,5,225,hyper_equipped,0,1,0,0,503,503,AS_NEW,3,0,9041,1963,"3.791821,51.0815416",East Flanders
20528988,geraardsbergen,other,mixed_use_building,320000,4,170,semi_equipped,0,0,0,0,305,305,GOOD,2,0,9500,0,"3.9165651,50.7527325",East Flanders
20538892,liezele,other,bungalow,299000,2,81,usa_hyper_equipped,0,0,0,0,571,571,GOOD,4,0,2870,2015,"4.2935078,51.0592456",Antwerp
20398612,willebroek,house,house,399000,4,165,installed,0,0,0,0,249,249,GOOD,0,0,2830,1930,"4.3602891,51.0702691",Antwerp
20538891,wilrijk,house,house,299000,5,185,semi_equipped,0,0,0,0,163,163,TO_RENOVATE,2,0,2610,1931,"4.3818132,51.1804983",Antwerp
20538880,daussois,house,villa,210000,2,105,0,0,0,0,0,1182,1182,GOOD,4,0,5630,0,"4.4591991,50.2127529",Namur
20538888,ixelles,apartment,apartment,310000,1,63,usa_installed,0,0,0,0,0,0,AS_NEW,2,0,1050,2003,"4.3820086,50.8261369",Brussels
20538887,barvaux,apartment,apartment,135000,1,60,0,1,0,0,0,0,0,0,0,0,6940,1992,"5.4771417,50.353512",Luxembourg
20538879,temse,other,loft,499000,2,156,usa_hyper_equipped,0,0,0,0,0,0,JUST_RENOVATED,0,0,9140,0,"4.2033695,51.1267784",East Flanders
20516550,anderlecht,apartment,apartment,149000,1,47,0,0,0,0,0,0,0,GOOD,2,0,1070,0,"4.3065759,50.8380491",Brussels
20538878,temse,other,loft,599000,3,202,usa_hyper_equipped,0,0,0,0,0,0,JUST_RENOVATED,0,0,9140,0,"4.2033695,51.1267784",East Flanders
20538867,stembert,house,house,319000,3,138,installed,0,0,0,0,164,164,GOOD,2,0,4801,2015,"5.8926219,50.5835748",Liège
20538869,verviers,house,house,319000,3,138,installed,0,0,0,0,164,164,GOOD,2,0,4800,2015,"5.8926219,50.5835748",Liège
20538861,etterbeek,apartment,apartment,465000,2,84,hyper_equipped,0,0,0,0,0,0,0,2,0,1040,1956,"4.4014108,50.8297843",Brussels
20257045,charleroi,other,apartment_block,169900,4,268,not_installed,0,0,0,0,170,170,TO_RENOVATE,2,0,6001,1920,"4.4478112,50.399893",Hainaut
20520944,dudzele,house,house,785000,8,510,installed,0,0,0,0,1119,1119,GOOD,3,0,8380,1953,"3.2275581,51.2742711",West Flanders
20401012,evergem,apartment,apartment,199000,2,71,installed,1,0,0,0,0,0,GOOD,1,0,9940,1969,"3.723444,51.11721",East Flanders
20487989,molenbeek saint jean,other,flat_studio,145000,0,46,installed,0,0,0,0,0,0,GOOD,2,0,1080,2008,"4.3074511,50.8546296",Brussels
20505512,ixelles,apartment,apartment,375000,2,92,hyper_equipped,0,0,0,0,0,0,GOOD,3,0,1050,0,"4.364198,50.8347735",Brussels
20439680,woluwe saint lambert,apartment,apartment,415000,2,82,hyper_equipped,0,0,0,0,0,0,AS_NEW,2,0,1200,2017,"4.4336042,50.8569681",Brussels
20493361,gent,apartment,apartment,407250,2,98,hyper_equipped,0,0,0,0,0,0,AS_NEW,3,0,9000,2025,"3.7614479,51.0206209",East Flanders
20489569,woluwe saint lambert,apartment,apartment,540000,3,125,hyper_equipped,0,0,0,0,0,0,JUST_RENOVATED,0,0,1200,1976,"4.4406669,50.8551885",Brussels
20461646,forest,apartment,duplex,449000,1,74,usa_hyper_equipped,0,0,0,0,0,0,AS_NEW,2,0,1050,1927,"4.343781,50.8154289",Brussels
20079013,mechelen,house,house,545000,3,124,installed,0,0,0,0,186,186,GOOD,2,0,2812,2021,"4.5085509,51.0074615",Antwerp
20498717,bruxelles,apartment,apartment,595000,2,132,installed,0,1,0,0,0,0,AS_NEW,2,0,1000,1930,"4.3749869,50.8184353",Brussels
20489202,woluwe saint lambert,apartment,apartment,449000,2,113,hyper_equipped,0,0,0,0,0,0,AS_NEW,2,0,1200,1941,"4.4077422,50.841387",Brussels
20489478,bruxelles,apartment,penthouse,995000,3,190,installed,0,0,0,0,0,0,AS_NEW,3,0,1000,2005,"4.3748002,50.8474921",Brussels
20422918,uccle,apartment,apartment,660000,2,142,not_installed,0,0,0,0,0,0,AS_NEW,2,0,1180,1980,"4.371169,50.801668",Brussels
20483997,bruxelles,other,loft,940000,3,315,hyper_equipped,0,0,0,0,0,0,GOOD,3,0,1000,1896,"4.3516243,50.8539043",Brussels
20529816,turnhout,apartment,apartment,232900,1,65,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529815,turnhout,apartment,apartment,281900,2,90,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529810,turnhout,apartment,ground_floor,291900,2,92,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529809,turnhout,apartment,apartment,292900,2,90,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529812,turnhout,apartment,apartment,296900,2,90,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529813,turnhout,apartment,apartment,303900,2,93,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529814,turnhout,apartment,apartment,399900,3,114,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529817,turnhout,apartment,apartment,309900,2,92,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20529598,gent sint denijs westrem,apartment,ground_floor,490000,2,137,hyper_equipped,0,0,0,0,0,0,AS_NEW,2,0,9051,2024,"3.6691454,51.0193988",East Flanders
20529811,turnhout,apartment,apartment,408900,3,121,installed,0,0,0,0,0,0,0,2,0,2300,2025,"4.9422813,51.3167801",Antwerp
20502461,bertrix,house,house,159000,4,150,semi_equipped,0,0,0,0,429,429,TO_RENOVATE,3,0,6880,1930,"5.2127173,49.8804782",Luxembourg
20525348,brussels,apartment,apartment,449000,2,146,installed,0,0,0,0,0,0,AS_NEW,2,0,1000,1963,"4.3701714,50.8488424",Brussels
20525411,ixelles,apartment,apartment,175000,1,55,semi_equipped,0,0,0,0,0,0,TO_BE_DONE_UP,2,0,1050,1900,"4.3641368,50.8376267",Brussels
20526095,bruxelles,other,loft,750000,1,304,hyper_equipped,0,0,0,0,0,0,GOOD,3,Yes,1000,0,"4.3353925,50.8485529",Brussels
20535696,willebroek,house,house,299000,5,167,0,0,0,0,0,85,85,0,4,0,2830,0,"4.3600967,51.0635138",Antwerp
20535542,nazareth,house,house,369000,3,199,0,0,0,0,0,631,631,0,0,0,9810,0,"3.5913244,50.9564167",East Flanders
20488530,baasrode,house,house,299000,0,,hyper_equipped,0,0,0,0,330,330,GOOD,0,0,9200,0,"4.169112,51.029838",East Flanders
20539064,turnhout,house,house,219000,4,140,not_installed,0,0,0,0,0,0,TO_RENOVATE,0,0,2300,0,"4.9372429,51.3177047",Antwerp
20539061,koolskamp,house,villa,499169,3,,0,0,0,0,0,993,993,GOOD,0,0,8851,0,"3.2082253,51.0010452",West Flanders
20539060,heers,house,house,259900,3,247,0,0,0,0,0,1080,1080,TO_BE_DONE_UP,0,0,3870,1966,"5.2670071,50.7447413",Limburg
20468539,gent,apartment,apartment,275000,2,90,semi_equipped,0,0,0,0,0,0,TO_BE_DONE_UP,0,0,9000,1960,"3.7370257,51.0393205",East Flanders
20539058,brugge,house,house,169000,1,,0,0,0,0,0,0,0,0,0,0,8000,0,"3.2301787,51.2022589",West Flanders
20539059,assebroek,apartment,apartment,265000,1,,0,0,0,0,0,0,0,0,0,0,8310,2016,"3.2397932,51.2058792",West Flanders
20539051,de%20panne,apartment,apartment,119000,1,37,0,1,0,0,0,0,0,GOOD,0,0,8660,2011,"2.5158982,51.0787466",West Flanders
11048846,vilvoorde,apartment,apartment,377923,3,125,0,0,0,0,0,0,0,0,0,0,1800,0,"4.4195985,50.9155581",Flemish Brabant
20539055,tienen,house,house,599000,5,240,installed,0,0,0,0,400,400,TO_BE_DONE_UP,2,0,3300,1930,"4.9394858,50.803105",Flemish Brabant
